Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2784|2018-05-09T00:00:00|1582186.63|0.00|0.00|1582186.63
2785|2018-05-08T00:00:00|216308.36|0.00|0.00|216308.36
2786|2018-05-10T00:00:00|1021342.60|0.00|0.00|1021342.60
2787|2018-05-10T00:00:00|42894.19|0.00|0.00|42894.19
2788|2018-05-10T00:00:00|66196.78|0.00|0.00|66196.78
2789|2018-05-16T00:00:00|309115.03|0.00|193726.06|309115.03
2790|2018-05-16T00:00:00|149050.63|0.00|65575.84|149050.63
2791|2018-05-16T00:00:00|287946.54|0.00|60506.74|287946.54
2793|2018-05-23T00:00:00|499548.59|0.00|499548.59|499548.59
2795|2018-05-23T00:00:00|403053.09|0.00|403053.09|403053.09
2799|2018-04-12T00:00:00|337301.08|0.00|0.00|337301.08
2800|2018-03-28T00:00:00|183239.30|45775.03|93432.48|229014.33
2801|2018-03-14T00:00:00|140400.00|0.00|47293.39|140400.00
2802|2018-03-16T00:00:00|535980.29|0.00|204701.98|535980.29
2803|2018-03-16T00:00:00|450133.15|0.00|248145.59|450133.15
2806||3237237.30|0.00|195115.22|3237237.30
2807|2016-12-21T00:00:00|348050.58|138374.18|463050.58|486424.76
2809|2018-05-08T00:00:00|14895626.10|0.00|5217994.78|14895626.10
2810|2016-12-21T00:00:00|772441.62|57009.52|138380.75|829451.14
2811|2016-12-21T00:00:00|698750.00|0.00|747765.00|698750.00
2812|2016-12-21T00:00:00|114665.60|0.00|30586.47|114665.60
2814|2018-06-06T00:00:00|2270123.09|4815221.12|5356050.07|7085344.21
2815|2018-06-08T00:00:00|529181.38|0.00|0.00|529181.38
2816|2018-06-08T00:00:00|550000.62|0.00|0.00|550000.62
2817|2018-06-01T00:00:00|1108189.08|0.00|0.00|1108189.08
2818|2018-06-01T00:00:00|847017.83|0.00|0.00|847017.83
2820|2018-06-08T00:00:00|4415328.74|912990.34|11209571.30|5328319.08
2821|2018-06-01T00:00:00|610200.00|0.00|62375.00|610200.00
2824|2018-06-08T00:00:00|2324133.00|0.00|258343.94|2324133.00
2825|2018-06-07T00:00:00|3285972.56|0.00|1783078.14|3285972.56
2826|2019-02-22T00:00:00|193786.35|0.00|191382.35|193786.35
2827|2019-04-12T00:00:00|345293.63|0.00|314544.14|345293.63
2828|2019-04-12T00:00:00|269544.86|0.00|247857.64|269544.86
2829|2019-07-05T00:00:00|283148.68|0.00|272342.71|283148.68
2830|2019-07-05T00:00:00|257224.09|0.00|247797.24|257224.09
2831|2018-07-12T00:00:00|460411.68|0.00|441605.06|460411.68
2832|2018-07-02T00:00:00|4560000.00|-196392.00|3563608.00|4363608.00
2834|2018-12-28T00:00:00|1577308.32|0.00|1404547.85|1577308.32
2835|2018-06-15T00:00:00|732530.19|0.00|217129.12|732530.19
2838|2018-06-07T00:00:00|1288111.06|0.00|240848.29|1288111.06
2839|2018-06-07T00:00:00|1958890.75|107552.12|571024.70|2066442.87
2843||2600000.00|0.00|0.00|2600000.00
2846|2018-07-12T00:00:00|78060.00|0.00|78060.00|78060.00
2847|2018-07-05T00:00:00|507390.63|0.00|0.00|507390.63
2850|2018-07-05T00:00:00|335360.01|0.00|0.00|335360.01
2851|2018-07-05T00:00:00|230275.79|0.00|0.00|230275.79
2852|2018-06-07T00:00:00|200787.12|0.00|0.00|200787.12
2853|2018-07-26T00:00:00|732613.89|2402832.45|3135446.34|3135446.34
2855|2018-07-19T00:00:00|145111.97|0.00|0.00|145111.97
2857|2018-07-19T00:00:00|106275.43|0.00|0.00|106275.43
2858|2018-07-19T00:00:00|63249.34|0.00|0.00|63249.34
2859|2018-07-19T00:00:00|144381.45|0.00|0.00|144381.45
2860|2018-07-19T00:00:00|139075.54|0.00|0.00|139075.54
2861|2019-05-09T00:00:00|98965389.94|4688149.70|39168617.90|103653539.64
2864|2017-12-20T00:00:00|6079441.43|1189989.91|2791556.45|7269431.34
2865|2019-09-27T00:00:00|48874156.76|0.00|10203887.47|48874156.76
2867|2017-12-20T00:00:00|1072396.33|176472.90|481483.47|1248869.23
2868|2017-12-20T00:00:00|515000.04|0.00|85833.34|515000.04
2869||9184429.31|0.00|4830556.85|9184429.31
2870|2019-08-16T00:00:00|50975278.70|0.00|4571985.25|50975278.70
2871|2018-12-06T00:00:00|15235398.29|0.00|1603772.68|15235398.29
2872|2018-12-06T00:00:00|88450976.37|13529349.50|49741096.37|101980325.87
2873|2018-12-06T00:00:00|4313306.26|0.00|3480085.30|4313306.26
2876|2018-07-12T00:00:00|1644909.90|0.00|1544990.87|1644909.90
2877|2018-07-12T00:00:00|12150000.00|-3037500.00|11990846.16|9112500.00
2880|2018-07-11T00:00:00|11411563.65|0.00|3583210.93|11411563.65
2884|2018-07-26T00:00:00|2290771.17|875932.15|3166703.32|3166703.32
2886|2018-08-17T00:00:00|2500188.05|0.00|609051.16|2500188.05
2887|2019-02-07T00:00:00|79209.99|0.00|0.00|79209.99
2890|2019-02-22T00:00:00|171819.44|0.00|171819.16|171819.44
2891|2019-04-12T00:00:00|252055.16|0.00|247482.68|252055.16
2892|2019-07-05T00:00:00|105082.04|0.00|104227.76|105082.04
2893|2019-04-12T00:00:00|137527.85|0.00|137074.52|137527.85
2894|2019-02-22T00:00:00|210012.20|0.00|208119.24|210012.20
2895|2018-09-21T00:00:00|142362.95|0.00|141712.39|142362.95
2896|2019-02-22T00:00:00|393023.96|0.00|387827.10|393023.96
2898|2018-08-31T00:00:00|554419.20|0.00|474639.14|554419.20
2905|2018-04-12T00:00:00|0.00|0.00|0.00|0.00
2906|2018-07-12T00:00:00|3533978.13|0.00|2318270.76|3533978.13
2907|2018-07-12T00:00:00|300011.45|0.00|211057.48|300011.45
2908|2018-07-12T00:00:00|453310.36|0.00|473540.29|453310.36
2909|2018-07-12T00:00:00|146346.57|8019.72|151479.98|154366.29
2910|2018-08-20T00:00:00|0.00|0.00|0.00|0.00
2915|2018-08-03T00:00:00|1545751.61|188503.00|1195676.56|1734254.61
2916|2018-08-03T00:00:00|421862.59|79835.64|470441.23|501698.23
2917|2018-08-03T00:00:00|643891.94|28138.10|585702.35|672030.04
2920|2018-02-15T00:00:00|0.00|0.00|0.00|0.00
2922|2019-04-12T00:00:00|143853.58|0.00|141660.73|143853.58
2923|2018-02-27T00:00:00|0.00|0.00|0.00|0.00
2924|2018-03-28T00:00:00|0.00|0.00|0.00|0.00
2925|2019-06-14T00:00:00|1782649.64|0.00|527832.95|1782649.64
2926|2018-08-13T00:00:00|0.00|0.00|0.00|0.00
2927|2019-06-14T00:00:00|354000.00|0.00|31860.00|354000.00
2928|2018-08-03T00:00:00|2997275.16|891991.38|2299406.76|3889266.54
2929|2018-08-20T00:00:00|0.00|0.00|0.00|0.00
2930|2019-06-14T00:00:00|0.00|0.00|0.00|0.00
2931|2019-06-14T00:00:00|994804.38|229050.48|1223854.86|1223854.86
2932|2019-05-22T00:00:00|742931.43|0.00|709331.66|742931.43
2933|2018-05-18T00:00:00|0.00|0.00|0.00|0.00
2934|2018-04-13T00:00:00|0.00|0.00|0.00|0.00
2935|2018-05-08T00:00:00|0.00|0.00|0.00|0.00
2936|2018-08-03T00:00:00|2155474.81|53000.03|1963166.43|2208474.84
2937|2018-08-03T00:00:00|1963426.55|44841.46|1554719.32|2008268.01
2938|2018-08-03T00:00:00|341913.16|85466.07|419068.25|427379.23
2939|2018-08-03T00:00:00|423217.56|-24550.84|386881.76|398666.72
2942|2018-04-12T00:00:00|0.00|0.00|0.00|0.00
2943|2018-04-13T00:00:00|0.00|0.00|0.00|0.00
2944|2018-08-27T00:00:00|580950.00|580950.00|283300.00|1161900.00
2946|2018-08-30T00:00:00|509693.58|6282.03|515975.60|515975.61
2947|2018-08-30T00:00:00|428666.18|0.00|419870.61|428666.18
2948|2018-02-20T00:00:00|0.00|0.00|0.00|0.00
2953|2018-08-31T00:00:00|10262094.28|20854208.93|20263639.52|31116303.21
2954|2019-12-06T00:00:00|2541747.96|319718.53|2807158.16|2861466.49
2955|2018-10-03T00:00:00|0.00|0.00|418153.74|0.00
2956|2018-10-03T00:00:00|0.00|0.00|800809.64|0.00
2957|2018-10-03T00:00:00|0.00|0.00|64724.99|0.00
2958|2018-10-03T00:00:00|0.00|0.00|79763.79|0.00
2959|2018-10-03T00:00:00|0.00|0.00|25603.34|0.00
2960|2018-10-03T00:00:00|0.00|0.00|35816.43|0.00
2961|2018-10-03T00:00:00|0.00|0.00|1684489.30|0.00
2962|2018-10-03T00:00:00|0.00|0.00|368947.00|0.00
2963|2018-10-03T00:00:00|0.00|0.00|790000.00|0.00
2964|2018-11-08T00:00:00|98400.00|141313.34|196800.00|239713.34
2966|2018-11-08T00:00:00|127792.00|36889.52|164681.52|164681.52
2967|2018-11-08T00:00:00|288000.00|144000.00|372800.00|432000.00
2968|2018-11-08T00:00:00|429000.22|-1390.24|137243.95|427609.98
2970|2018-11-08T00:00:00|462900.00|0.00|310199.58|462900.00
2971|2018-11-08T00:00:00|45000.00|0.00|42275.00|45000.00
2974|2018-08-30T00:00:00|132569.00|0.00|132569.00|132569.00
2975|2018-08-30T00:00:00|267128.02|0.00|214852.32|267128.02
2976|2018-11-09T00:00:00|109915.71|0.00|108672.68|109915.71
2977|2019-07-05T00:00:00|528620.12|0.00|477896.15|528620.12
2978|2019-04-12T00:00:00|282956.96|0.00|264699.68|282956.96
2979|2019-02-22T00:00:00|239020.97|0.00|239020.66|239020.97
2980|2019-02-22T00:00:00|239417.22|0.00|238454.21|239417.22
2981|2018-10-03T00:00:00|0.00|0.00|13810.88|0.00
2982|2018-10-03T00:00:00|0.00|0.00|252927.58|0.00
2983|2018-10-03T00:00:00|0.00|0.00|39600.00|0.00
2984|2018-10-03T00:00:00|0.00|0.00|241376.51|0.00
2985|2018-10-03T00:00:00|0.00|0.00|14500.00|0.00
2986|2018-10-03T00:00:00|0.00|0.00|7850.00|0.00
2987|2018-10-03T00:00:00|0.00|0.00|26362.50|0.00
2988|2018-10-03T00:00:00|0.00|0.00|134697.86|0.00
2989|2018-10-03T00:00:00|0.00|0.00|203846.89|0.00
2990|2018-10-03T00:00:00|0.00|0.00|80414.79|0.00
2991|2018-10-03T00:00:00|0.00|0.00|69435.02|0.00
2999|2018-10-03T00:00:00|0.00|0.00|263125.12|0.00
3000|2018-10-03T00:00:00|0.00|0.00|45227.73|0.00
3001|2018-10-03T00:00:00|0.00|0.00|190646.60|0.00
3002|2018-10-03T00:00:00|0.00|0.00|152482.06|0.00
3003|2018-10-03T00:00:00|0.00|0.00|29290.53|0.00
3004|2018-10-03T00:00:00|0.00|0.00|83870.27|0.00
3008|2018-10-03T00:00:00|0.00|0.00|125544.95|0.00
3009|2018-10-03T00:00:00|0.00|0.00|144209.91|0.00
3010|2018-10-03T00:00:00|0.00|0.00|688890.68|0.00
3011|2020-07-29T00:00:00|37511833.29|1623371.15|16017467.53|39135204.44
3012|2018-11-30T00:00:00|130460.23|0.00|130460.23|130460.23
3014|2018-10-31T00:00:00|8753474.44|898380.29|3635202.99|9651854.73
3015|2018-11-30T00:00:00|407003.72|0.00|407003.72|407003.72
3016|2018-11-30T00:00:00|78200.00|0.00|78200.00|78200.00
3019|2018-10-03T00:00:00|0.00|0.00|235504.78|0.00
3020|2018-11-08T00:00:00|118568.99|0.00|77321.30|118568.99
3021|2019-03-19T00:00:00|7224178.58|0.00|380100.35|7224178.58
3024|2019-06-27T00:00:00|40849755.01|0.00|3240127.53|40849755.01
3028|2018-11-22T00:00:00|527933.57|2287712.03|2815645.60|2815645.60
3030|2018-03-23T00:00:00|179972.37|70904.24|250863.36|250876.61
3032|2018-08-30T00:00:00|140999.00|0.00|16957.00|140999.00
3033|2018-12-06T00:00:00|78473.46|0.00|0.00|78473.46
3034|2019-05-20T00:00:00|2510831.15|0.00|2021975.87|2510831.15
3035|2018-12-03T00:00:00|3929645.20|0.00|788065.50|3929645.20
3036|2019-03-06T00:00:00|371400.00|0.00|141540.00|371400.00
3037|2018-12-03T00:00:00|1355400.00|0.00|0.00|1355400.00
3038|2018-12-03T00:00:00|406707.00|0.00|203353.50|406707.00
3040|2018-12-11T00:00:00|132078003.72|16490000.00|83031716.19|148568003.72
3042|2018-12-13T00:00:00|5976607.32|0.00|4170369.32|5976607.32
3043|2018-09-06T00:00:00|550000.00|36025.00|586025.00|586025.00
3045|2018-08-31T00:00:00|151617.40|0.00|190173.77|151617.40
3048|2019-02-20T00:00:00|382838.08|277197.36|382838.08|660035.44
3049|2020-01-03T00:00:00|1150780.00|0.00|0.00|1150780.00
3051|2018-05-07T00:00:00|148720.00|0.00|6935.00|148720.00
3052|2019-02-20T00:00:00|119954.01|0.00|138498.74|119954.01
3053|2019-02-20T00:00:00|139883.73|0.00|139883.71|139883.73
3054|2019-02-20T00:00:00|77515.64|0.00|77515.64|77515.64
3055|2019-02-20T00:00:00|143905.94|0.00|143819.01|143905.94
3056|2019-01-23T00:00:00|959.74|0.00|959.74|959.74
3057|2019-02-20T00:00:00|328471.50|0.00|30830.88|328471.50
3058|2019-02-20T00:00:00|138030.60|0.00|25950.25|138030.60
3059|2019-02-20T00:00:00|168740.81|0.00|38485.03|168740.81
3060|2019-01-24T00:00:00|4574330.02|0.00|645305.29|4574330.02
3061|2019-01-28T00:00:00|0.00|0.00|0.00|0.00
3062|2019-01-24T00:00:00|0.00|0.00|0.00|0.00
3064|2019-02-15T00:00:00|16454105.98|0.00|0.00|16454105.98
3065|2019-02-22T00:00:00|271733.16|0.00|115668.77|271733.16
3066|2019-02-15T00:00:00|275661.50|0.00|0.00|275661.50
3069|2018-12-20T00:00:00|61098525.31|0.00|421370.00|61098525.31
3070|2019-02-15T00:00:00|165020.47|0.00|0.00|165020.47
3071|2019-02-15T00:00:00|130558.90|0.00|0.00|130558.90
3072|2019-02-15T00:00:00|666840.33|0.00|318602.20|666840.33
3073|2019-02-15T00:00:00|533498.85|0.00|33386.06|533498.85
3074|2019-02-15T00:00:00|85834.48|0.00|0.00|85834.48
3075|2019-02-15T00:00:00|212353.22|0.00|33488.79|212353.22
3076|2019-02-15T00:00:00|424553.67|0.00|109193.06|424553.67
3077|2019-02-15T00:00:00|92635.58|15162.15|13876.43|107797.73
3078|2019-02-15T00:00:00|191976.87|0.00|0.00|191976.87
3079|2019-02-15T00:00:00|617945.54|93121.13|516418.43|711066.67
3080|2019-03-20T00:00:00|205014.87|23145.28|11314.18|228160.15
3081|2019-02-26T00:00:00|58873124.81|7535633.03|82484276.58|66408757.84
3082|2019-02-28T00:00:00|4016911.42|964596.67|1956124.69|4981508.09
3083|2019-01-24T00:00:00|4199555.72|0.00|1985361.75|4199555.72
3084|2019-02-26T00:00:00|1195008.47|0.00|1191692.77|1195008.47
3085|2019-02-26T00:00:00|1067058.17|254678.32|1189658.12|1321736.49
3086|2019-02-28T00:00:00|889299.09|0.00|0.00|889299.09
3087|2019-02-28T00:00:00|2558888.09|0.00|335264.60|2558888.09
3089|2019-02-28T00:00:00|4016911.42|0.00|0.00|4016911.42
3090|2019-02-26T00:00:00|950984.98|0.00|381561.95|950984.98
3091|2019-02-05T00:00:00|831264.65|176700.30|227441.08|1007964.95
3092|2019-02-05T00:00:00|0.00|0.00|0.00|0.00
3093|2019-02-28T00:00:00|263125.00|0.00|0.00|263125.00
3094|2019-03-29T00:00:00|5506063.64|0.00|2614122.50|5506063.64
3095|2019-01-31T00:00:00|1616565.68|0.00|0.00|1616565.68
3097|2019-02-20T00:00:00|826302.63|0.00|324305.49|826302.63
3098|2019-02-28T00:00:00|689809.22|0.00|113626.05|689809.22
3100|2019-02-28T00:00:00|792820.14|0.00|0.00|792820.14
3103|2019-02-28T00:00:00|146413.31|0.00|146413.30|146413.31
3104||12856457.76|621244.75|2871409.09|13477702.51
3107|2019-03-22T00:00:00|1092998.40|1312320.64|2073624.48|2405319.04
3109|2019-04-20T00:00:00|240093.35|0.00|186602.44|240093.35
3112|2019-04-23T00:00:00|19260938.31|0.00|0.00|19260938.31
3117|2018-12-20T00:00:00|1522624.25|84234.75|487062.86|1606859.00
3118|2021-01-28T00:00:00|6800358.50|861681.00|3543171.87|7662039.50
3119|2019-03-21T00:00:00|0.00|0.00|0.00|0.00
3120|2019-04-24T00:00:00|109486.52|0.00|109486.51|109486.52
3121|2019-02-28T00:00:00|727720.95|0.00|104300.97|727720.95
3122|2019-02-28T00:00:00|708824.87|0.00|475376.85|708824.87
3123|2019-12-05T00:00:00|757294.08|0.00|0.00|757294.08
3124|2019-12-06T00:00:00|518413.33|0.00|69594.05|518413.33
3126|2019-05-17T00:00:00|2002874.00|0.00|351430.22|2002874.00
3127|2019-02-05T00:00:00|316838.46|64003.22|164083.55|380841.68
3129|2019-05-05T00:00:00|1285394.10|29335.07|562101.24|1314729.17
3130|2019-02-01T00:00:00|98620.61|0.00|60150.32|98620.61
3131|2019-02-01T00:00:00|144112.37|0.00|15000.00|144112.37
3132|2019-06-20T00:00:00|0.00|0.00|0.00|0.00
3133|2019-02-05T00:00:00|736673.81|0.00|83446.50|736673.81
3135|2019-06-06T00:00:00|1395871.57|0.00|1033137.24|1395871.57
3136|2018-07-02T00:00:00|1005229.00|0.00|757639.40|1005229.00
3137|2019-02-05T00:00:00|394004.64|0.00|230736.90|394004.64
3138|2019-06-14T00:00:00|17489544.41|488442.09|6308298.17|17977986.50
3140|2019-06-14T00:00:00|7811685.36|379349.06|4520560.65|8191034.42
3141|2019-06-14T00:00:00|4865000.00|0.00|305562.14|4865000.00
3142|2019-06-14T00:00:00|2440000.00|0.00|233280.90|2440000.00
3143|2019-06-14T00:00:00|3360000.00|0.00|192551.54|3360000.00
3144|2019-06-14T00:00:00|2610178.44|0.00|365648.20|2610178.44
3145|2019-06-14T00:00:00|3446300.83|0.00|271936.04|3446300.83
3146|2019-11-13T00:00:00|2724298.49|9989094.46|12806358.16|12713392.95
3151|2019-05-31T00:00:00|1300000.00|1147021.34|2447021.34|2447021.34
3153|2019-06-26T00:00:00|153000.00|3891.16|156891.16|156891.16
3154|2019-08-16T00:00:00|145411.20|3589868.80|0.00|3735280.00
3155|2019-08-16T00:00:00|654540.00|1336047.12|0.00|1990587.12
3158|2019-06-04T00:00:00|1590251.23|0.00|396009.75|1590251.23
3159|2019-06-06T00:00:00|143750.00|0.00|58539.00|143750.00
3161|2019-05-23T00:00:00|614446.84|0.00|245359.67|614446.84
3162|2019-06-14T00:00:00|0.00|0.00|0.00|0.00
3163|2019-05-20T00:00:00|9400000.00|2350000.00|10622923.60|11750000.00
3165|2019-04-25T00:00:00|265762.47|0.00|105709.32|265762.47
3166|2019-04-25T00:00:00|30292.48|0.00|0.00|30292.48
3167|2019-06-28T00:00:00|0.00|0.00|0.00|0.00
3168|2019-05-10T00:00:00|1722549.51|939296.51|2095873.80|2661846.02
3169|2020-09-29T00:00:00|5586186.64|9999.37|5222009.42|5596186.01
3170|2020-09-29T00:00:00|5528128.01|859501.18|5909583.54|6387629.19
3171|2019-07-31T00:00:00|2119998.32|0.00|0.00|2119998.32
3173|2019-07-31T00:00:00|1458936.00|0.00|445825.76|1458936.00
3174|2019-07-17T00:00:00|2744653.00|0.00|1537510.00|2744653.00
3175|2020-09-23T00:00:00|32383232.15|0.00|939721.96|32383232.15
3176|2019-08-20T00:00:00|6377846.92|999134.18|2667164.45|7376981.10
3178|2019-07-31T00:00:00|147400.00|0.00|594539.03|147400.00
3179|2019-07-05T00:00:00|2950200.00|2950200.00|2244761.10|5900400.00
3180|2019-05-31T00:00:00|1407099.84|4565099.96|5972199.80|5972199.80
3181|2019-08-06T00:00:00|82827.77|0.00|82827.77|82827.77
3183|2019-09-29T00:00:00|12390281.28|0.00|991300.11|12390281.28
3184|2019-09-03T00:00:00|271995.92|0.00|91875.06|271995.92
3185|2019-08-20T00:00:00|169641.05|0.00|0.00|169641.05
3186|2019-10-30T00:00:00|21935808.36|0.00|2247539.27|21935808.36
3187|2019-06-14T00:00:00|0.00|0.00|0.00|0.00
3188|2019-06-21T00:00:00|3848528.83|0.00|3079389.63|3848528.83
3189|2019-06-21T00:00:00|973000.00|0.00|610000.00|973000.00
3190|2019-10-20T00:00:00|1755229.77|0.00|0.00|1755229.77
3194|2019-09-05T00:00:00|11725714.19|0.00|1261113.42|11725714.19
3196|2019-09-13T00:00:00|276600.00|226426.67|523026.67|503026.67
3199|2019-09-27T00:00:00|3010289.40|1259532.08|3741938.16|4269821.48
3204|2020-06-05T00:00:00|5270000.00|0.00|2917591.94|5270000.00
3206|2020-06-05T00:00:00|2760000.00|0.00|2081283.80|2760000.00
3207|2020-06-05T00:00:00|5378000.00|0.00|4404890.30|5378000.00
3208|2020-06-05T00:00:00|2177120.54|0.00|2205859.62|2177120.54
3211|2019-10-11T00:00:00|11297847.60|0.00|1206750.64|11297847.60
3212|2019-07-31T00:00:00|3015499.35|15077496.75|14920474.84|18092996.10
3214|2019-10-11T00:00:00|2272022.29|72532.22|412526.77|2344554.51
3215|2019-09-25T00:00:00|858835.80|0.00|558413.40|858835.80
3216|2019-10-30T00:00:00|27152162.20|16663781.42|27636595.09|43815943.62
3217|2019-11-20T00:00:00|90275.00|21980.00|112255.00|112255.00
3218|2019-11-20T00:00:00|170898.00|512694.00|498452.38|683592.00
3219|2019-11-07T00:00:00|455502.24|0.00|662608.82|455502.24
3220|2019-11-20T00:00:00|181199.04|1721390.80|1434492.40|1902589.84
3221|2019-11-20T00:00:00|92689.20|0.00|0.00|92689.20
3229|2019-01-31T00:00:00|1959307.74|0.00|0.00|1959307.74
3234|2019-10-23T00:00:00|49346324.04|0.00|0.00|49346324.04
3236|2019-10-04T00:00:00|1965505.00|0.00|0.00|1965505.00
3237|2019-10-04T00:00:00|1247645.00|0.00|1241823.30|1247645.00
3238|2019-12-04T00:00:00|22789402.86|2237982.98|26800585.06|25027385.84
3240|2019-11-29T00:00:00|822761.90|-4616.41|619464.40|818145.49
3241|2019-12-20T00:00:00|1560000.00|3460000.00|2609356.04|5020000.00
3243|2019-12-20T00:00:00|1680000.00|0.00|484484.77|1680000.00
3244|2019-12-09T00:00:00|3741207.00|0.00|0.00|3741207.00
3245|2019-12-09T00:00:00|135799.43|0.00|0.00|135799.43
3246|2020-01-22T00:00:00|1451188.05|0.00|0.00|1451188.05
3248|2020-01-22T00:00:00|357894.16|0.00|0.00|357894.16
3249|2020-01-22T00:00:00|1387900.71|0.00|752257.95|1387900.71
3256|2020-03-13T00:00:00|2492792.51|0.00|0.00|2492792.51
3257|2020-03-13T00:00:00|228512.93|0.00|0.00|228512.93
3258|2020-03-13T00:00:00|1048862.21|0.00|0.00|1048862.21
3259|2020-03-13T00:00:00|3123600.43|0.00|0.00|3123600.43
3261|2020-03-13T00:00:00|0.00|0.00|0.00|0.00
3262|2020-03-13T00:00:00|335037.46|0.00|0.00|335037.46
3263|2020-03-13T00:00:00|524555.46|0.00|0.00|524555.46
3264|2020-03-13T00:00:00|2320663.80|0.00|0.00|2320663.80
3265|2020-03-13T00:00:00|907794.98|0.00|0.00|907794.98
3266|2020-03-13T00:00:00|1293743.53|0.00|1263368.24|1293743.53
3267|2020-03-13T00:00:00|3267808.32|0.00|3045999.72|3267808.32
3268|2020-03-13T00:00:00|2624186.04|0.00|2501386.39|2624186.04
3269|2020-03-13T00:00:00|2323081.36|0.00|1404611.52|2323081.36
3271|2020-02-13T00:00:00|0.00|0.00|0.00|0.00
3272|2019-10-04T00:00:00|0.00|0.00|0.00|0.00
3274|2019-10-04T00:00:00|109000.00|0.00|109000.00|109000.00
3277|2020-10-07T00:00:00|7739760.62|270910.98|3956060.06|8010671.60
3278|2020-03-13T00:00:00|1430000.00|0.00|2369692.61|1430000.00
3295|2020-02-14T00:00:00|269795.30|0.00|0.00|269795.30
3299|2020-06-26T00:00:00|2310000.00|0.00|1338062.41|2310000.00
3301|2020-08-05T00:00:00|1048832.55|0.00|847296.39|1048832.55
3302|2020-08-05T00:00:00|53710.87|0.00|52360.87|53710.87
3303|2020-08-05T00:00:00|99171.33|0.00|99171.19|99171.33
3304|2020-08-05T00:00:00|839520.00|0.00|0.00|839520.00
3305|2020-06-12T00:00:00|138000.00|414000.00|667602.00|552000.00
3306|2020-04-15T00:00:00|1929900.00|0.00|0.00|1929900.00
3307|2020-12-18T00:00:00|4648000.00|0.00|13114661.08|4648000.00
3308|2020-08-05T00:00:00|441934.94|0.00|441934.94|441934.94
3309|2019-10-31T00:00:00|2379713.28|0.00|109815.76|2379713.28
3313|2020-05-01T00:00:00|300000.00|0.00|79818.00|300000.00
3317|2020-08-11T00:00:00|4541208.00|177773.20|1473115.00|4718981.20
3318|2020-06-09T00:00:00|797675.31|0.00|631901.97|797675.31
3319|2020-08-03T00:00:00|0.00|0.00|0.00|0.00
3322|2020-09-08T00:00:00|361914.08|0.00|610461.69|361914.08
3324|2020-07-01T00:00:00|735929.34|0.00|0.00|735929.34
3326|2020-06-11T00:00:00|679233.54|0.00|667253.57|679233.54
3327|2020-06-11T00:00:00|960034.33|0.00|922755.41|960034.33
3328|2020-06-12T00:00:00|814110.06|0.00|809405.40|814110.06
3334|2020-09-10T00:00:00|2766366.60|0.00|232545.60|2766366.60
3340|2020-09-28T00:00:00|113920.97|0.00|0.00|113920.97
3341|2020-09-28T00:00:00|150000.00|0.00|150000.00|150000.00
3343|2019-08-16T00:00:00|51656850.59|0.00|0.00|51656850.59
3344|2020-08-10T00:00:00|0.00|0.00|0.00|0.00
3346|2020-10-06T00:00:00|549370.24|123974.82|477911.95|673345.06
3347|2020-10-13T00:00:00|426951.39|39142.94|192164.41|466094.33
3351|2020-05-07T00:00:00|609702.00|0.00|0.00|609702.00
3353|2019-08-16T00:00:00|100722945.03|21646834.62|27622599.23|122369779.65
3359|2020-11-04T00:00:00|14912772.53|14912772.53|0.00|29825545.06
3360|2020-11-17T00:00:00|1295613.61|0.00|1295611.32|1295613.61
3363|2020-11-24T00:00:00|2408392.26|2007691.56|4416083.82|4416083.82
3367|2020-12-07T00:00:00|2106528.02|0.00|792793.90|2106528.02
3368|2020-11-30T00:00:00|40934.24|0.00|40808.19|40934.24
3369|2020-12-04T00:00:00|126645.30|0.00|0.00|126645.30
3370|2021-01-08T00:00:00|138000.00|414000.00|667602.00|552000.00
3380|2020-10-30T00:00:00|282562.80|0.00|282562.80|282562.80
3381|2021-02-19T00:00:00|71000.00|0.00|46000.00|71000.00
70|2012-06-01T00:00:00|910928.78|0.00|1014114.35|910928.78
194|2015-04-01T00:00:00|3949951.40|0.00|1244286.42|3949951.40
198|2015-04-01T00:00:00|12041273.32|0.00|10877307.75|12041273.32
286|2015-03-03T00:00:00|304848667.92|-44772515.69|246103710.83|260076152.23
295|2012-11-20T00:00:00|147302328.11|45380801.89|173295910.89|192683130.00
302|2016-11-22T00:00:00|28638430.19|0.00|4387377.44|28638430.19
304|2013-12-11T00:00:00|115485525.36|28089162.75|141560160.19|143574688.11
306|2013-11-21T00:00:00|146600153.33|36075848.44|168299128.36|182676001.77
330|2012-07-03T00:00:00|4031940.64|0.00|0.00|4031940.64
357|2012-08-01T00:00:00|720502.09|0.00|66529.22|720502.09
364|2012-09-14T00:00:00|3418937.33|0.00|3206424.37|3418937.33
365|2012-03-23T00:00:00|1845475.26|0.00|1841353.50|1845475.26
366|2012-03-23T00:00:00|2824905.61|0.00|2768238.89|2824905.61
367|2012-03-23T00:00:00|1792208.09|0.00|1741192.81|1792208.09
368|2012-03-23T00:00:00|2523333.92|0.00|2499494.43|2523333.92
369|2012-03-23T00:00:00|1870817.65|0.00|1845597.08|1870817.65
472|2013-06-04T00:00:00|36742953.81|0.00|29286963.43|36742953.81
495|2012-08-31T00:00:00|18094145.03|0.00|23583782.22|18094145.03
501|2016-11-10T00:00:00|1142004.06|0.00|132900.15|1142004.06
